Municipio,Poblacion,% Con Agua Entubada,% Sin Agua Entubada (Acarreo),Volumen en m3 (Publico),Personas con agua entubada,Personas sin agua entubada
042 Los Ramones,"5,389",95.80%,4.20%,31536,5163,226
031 Juárez,"471,523",99.50%,0.50%,41942.88,469165,2358
021 General Escobedo,"481,213",99.20%,0.80%,56880,477363,3850
004 Allende,"35,289",98.80%,1.20%,90973,34866,423
034 Marín,"5,119",99.30%,0.70%,152880,5083,36
014 Doctor Arroyo,"36,088",70.40%,29.60%,300000,25406,10682
016 Doctor González ,"3,256",97.10%,2.90%,305940,3162,94
009 Cadereyta Jiménez,"122,337",97.30%,2.70%,319768,119034,3303
033 Linares,"84,666",98.30%,1.70%,921800,83227,1439
045 Salinas Victoria,"86,766",99.40%,0.60%,1326066,86245,521
019 San Pedro Garza García,"132,169",95.90%,4.10%,1373392,126750,5419
041 Pesquería,"147,624",99.50%,0.50%,1465964,146886,738
026 Guadalupe,"643,143",99.50%,0.50%,1751735,639927,3216
017 Galeana,"40,903",86.40%,13.60%,2530000,35340,5563
046 San Nicolás de los Garza,"412,199",99.80%,0.20%,2938458,411375,824
007 Aramberri,"14,992",92.90%,7.10%,5100000,13928,1064
037 Mina,"6,048",94.00%,6.00%,26477467.92,5685,363
039 Monterrey,"1,142,994",98.60%,1.40%,30132070.2,1126992,16002
049 Santiago,"46,784",96.40%,3.60%,34727171,45100,1684
048 Santa Catarina,"306,322",98.80%,1.20%,62746919.7,302646,3676
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
